Designator,Mid X,Mid Y,Rotation,Layer
D1,117.5,-102.5,0.0,top
J2,107.0,-95.04,0.0,top
J3,107.0,-103.0,0.0,top
R1,118.0,-95.0,270.0,top
R2,112.0,-102.5,0.0,top
R3,112.0,-95.5,0.0,top
