Designator,Mid X,Mid Y,Rotation,Layer
BZ1,148.0,-83.0,270.0,top
D1,151.5,-101.5,180.0,top
J1,134.5,-84.23,0.0,top
J2,134.5,-96.46,0.0,top
R1,144.36,-100.27,90.0,top
U1,151.86,-94.5,90.0,top
