Designator,Mid X,Mid Y,Rotation,Layer
D1,127.4375,-104.0,0.0,top
J1,115.5,-95.5,0.0,top
J2,115.0,-104.5,0.0,top
R1,121.5,-104.0875,270.0,top
RV1,121.23,-95.46,0.0,top
