Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_CUADRADO,1,LED,
D3,LED_TRANS,1,LED,
J1,TerminalBlock_12pin,1,397730012,
J2,CONECT_4,1,61300411121,
"R1, R2, R3, R4, R5",RESISTENCIA,5,R,
S1,BOTON_CUADRADO,1,320.01E11WHT,
U1,PS1440P02BT_TDK,1,PS1440P02BT,
