Designator,Mid X,Mid Y,Rotation,Layer
D1,194.23,-105.04,180.0,top
D2,194.31,-112.54,180.0,top
D3,194.31,-121.04,180.0,top
J1,178.0,-110.81,270.0,top
R1,187.0,-107.04,0.0,top
R2,187.0,-113.04,0.0,top
R3,187.0,-118.04,0.0,top
